"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\rohit\Downloads\quality\ui_components\__init__.py", "Python", 10, 4, 2, 16
"c:\Users\rohit\Downloads\quality\ui_components\data_input_forms.py", "Python", 233, 33, 69, 335
"c:\Users\rohit\Downloads\quality\ui_components\export_functions.py", "Python", 49, 104, 37, 190
"c:\Users\rohit\Downloads\quality\ui_components\tool_customization.py", "Python", 267, 14, 51, 332
"c:\Users\rohit\Downloads\quality\ui_components\tool_display.py", "Python", 175, 20, 43, 238
"Total", "-", 734, 175, 202, 1111
